date,total_value
2025-10-15,
2026-01-06,153468.9804211675
2026-01-07,153188.42530678312
2026-01-08,152486.67370357062
2026-01-09,154978.8241736819
2026-01-12,155756.30455332715
2026-01-13,155553.00277080818
2026-01-14,153918.27620319757
2026-01-15,154301.98732938076
2026-01-16,153771.48709283202
2026-01-20,150047.39663108168
2026-01-21,153868.05944817507
2026-01-22,156179.0449728398
2026-01-23,157098.54933707815
2026-01-26,158305.91133363388
2026-01-27,161525.90714265752
2026-01-28,163466.54559597347
2026-01-29,162474.5519063755
2026-01-30,156548.16955227705
2026-02-03,155592.67826417048
2026-02-04,152438.28155646985
2026-02-05,148329.38962757532
2026-02-06,154250.25897098816
2026-02-09,156945.2631680411
2026-02-10,155645.03736692455
2026-02-11,157039.92650740457
2026-02-12,151247.16884071266
2026-02-13,152437.16359204537
2026-02-17,151150.0496524343
2026-02-18,153778.0735154082
2026-02-19,153310.3373168375
2026-02-20,155629.74178482583
2026-02-23,153920.97106181207
2026-02-24,155775.97824739822
2026-02-25,158610.4129916607
2026-02-26,156388.56937304136
2026-02-27,156551.40133009074
